CHEM_ID	SUPER_PATHWAY	SUB_PATHWAY	PATHWAY_SORTORDER	TYPE	CHEMICAL_NAME	PLOT_NAME	HMDB	KEGG	PUBCHEM	PLATFORM
m100000282	Amino Acid	Glutamate Metabolism	47	NAMED	N-acetylglutamate	N-acetylglutamate	HMDB0001138	C00624	70914	Polar
m100000295	Xenobiotics	Food Component/Plant	5072	NAMED	tartarate	tartarate	"HMDB0000956,HMDB0062642"	"C00552,C02107,C00898"	"444,305,875"	Neg
m100000406	Carbohydrate	Pentose Metabolism	1262	NAMED	ribitol	ribitol	"HMDB0002917,HMDB0001851,HMDB0000568,HMDB0000508"	"C00379,C01904,C00474,C00532"	6912	Polar
m100000437	Xenobiotics	Xanthine Metabolism	4592	NAMED	theophylline	theophylline	HMDB0001889	C07130	2153	Neg
m100000442	Xenobiotics	Food Component/Plant	4904	NAMED	quinate	quinate	HMDB0003072	C00296	6508	Polar
m100000445	Xenobiotics	Xanthine Metabolism	4591	NAMED	theobromine	theobromine	HMDB0002825	C07480	5429	Pos Early
m100000453	Xenobiotics	Xanthine Metabolism	4590	NAMED	paraxanthine	paraxanthine	HMDB0001860	C13747	4687	Neg
m100000463	Amino Acid	Tryptophan Metabolism	298	NAMED	indolelactate	indolelactate	HMDB0000671	C02043	92904	Pos Early
m100000467	Amino Acid	Tryptophan Metabolism	322	NAMED	3-indoxyl sulfate	3-indoxyl sulfate	HMDB0000682	NA	10258	Neg
m100000491	Peptide	Gamma-glutamyl Amino Acid	643	NAMED	gamma-glutamylphenylalanine	gamma-glutamylphenylalanine	HMDB0000594	NA	111299	Neg
m100000551	Amino Acid	"Leucine, Isoleucine and Valine Metabolism"	343	NAMED	4-methyl-2-oxopentanoate	4-methyl-2-oxopentanoate	HMDB0000695	C00233	70	Neg
m100000580	Carbohydrate	"Glycolysis, Gluconeogenesis, and Pyruvate Metabolism"	1220	NAMED	"1,5-anhydroglucitol (1,5-AG)"	"1,5-anhydroglucitol (1,5-AG)"	HMDB0002712	C07326	64960	Neg
m100000616	Lipid	Phosphatidylinositol (PI)	2556	NAMED	1-stearoyl-2-arachidonoyl-GPI (18:0/20:4)	1-stearoyl-2-arachidonoyl-GPI (18:0/20:4)	HMDB0009815	NA	NA	Pos Late
m100000626	Lipid	Sphingosines	3161	NAMED	sphingosine 1-phosphate	sphingosine 1-phosphate	HMDB0000277	C06124	5283560	Pos Late
m100000656	Lipid	Lysophospholipid	2721	NAMED	1-stearoyl-GPI (18:0)	1-stearoyl-GPI (18:0)	HMDB0240261	NA	"7,158,113,542,607,490"	Neg
m100000657	Lipid	Phosphatidylcholine (PC)	2278	NAMED	"1,2-dipalmitoyl-GPC (16:0/16:0)"	"1,2-dipalmitoyl-GPC (16:0/16:0)"	HMDB0000564	D03585	452110	Pos Late
m100000665	Lipid	Long Chain Polyunsaturated Fatty Acid (n3 and n6)	1563	NAMED	docosahexaenoate (DHA; 22:6n3)	docosahexaenoate (DHA; 22:6n3)	HMDB0002183	C06429	445580	Neg
m100000672	Lipid	Phosphatidylcholine (PC)	2262	NAMED	1-myristoyl-2-palmitoyl-GPC (14:0/16:0)	1-myristoyl-2-palmitoyl-GPC (14:0/16:0)	HMDB0007869	NA	129657	Pos Late
m100000706	Amino Acid	"Leucine, Isoleucine and Valine Metabolism"	347	NAMED	alpha-hydroxyisocaproate	alpha-hydroxyisocaproate	"HMDB0000665,HMDB00746,HMDB0000624"	C03264	"8,369,792,779,439,960"	Neg
m100000707	Lipid	"Fatty Acid, Dicarboxylate"	1671	NAMED	maleate	maleate	HMDB0000176	C01384	444266	Polar
m100000708	Amino Acid	"Leucine, Isoleucine and Valine Metabolism"	351	NAMED	isovalerate (i5:0)	isovalerate (C5)	HMDB0000718	C08262	10430	Neg
m100000711	Xenobiotics	Benzoate Metabolism	4516	NAMED	4-acetylphenol sulfate	4-acetylphenyl sulfate	NA	NA	4684006	Neg
m100000743	Lipid	"Fatty Acid, Monohydroxy"	1960	NAMED	2-hydroxyoctanoate	2-hydroxyoctanoate	HMDB0002264	NA	"9,418,069,950,135,310,000"	Neg
m100000773	Lipid	"Fatty Acid, Monohydroxy"	1980	NAMED	3-hydroxyoctanoate	3-hydroxyoctanoate	HMDB0001954	C20793	26613	Neg
m100000774	Amino Acid	Phenylalanine Metabolism	151	NAMED	phenyllactate (PLA)	phenyllactate (PLA)	"HMDB0000779,HMDB0000563"	C05607	3848	Neg
m100000776	Lipid	"Fatty Acid Metabolism (Acyl Carnitine, Long Chain Saturated)"	1864	NAMED	palmitoylcarnitine (C16)	palmitoylcarnitine (C16)	HMDB0000222	C02990	461	Pos Late
m100000781	Lipid	"Fatty Acid Metabolism (Acyl Carnitine, Medium Chain)"	1844	NAMED	hexanoylcarnitine (C6)	hexanoylcarnitine (C6)	HMDB0000756	NA	6426853	Pos Early
m100000792	Lipid	Androgenic Steroids	3337	NAMED	dehydroepiandrosterone sulfate (DHEA-S)	dehydroepiandrosterone sulfate (DHEA-S)	HMDB0001032	C04555	12594	Neg
m100000802	Lipid	"Fatty Acid Metabolism (Acyl Carnitine, Short Chain)"	1840	NAMED	acetylcarnitine (C2)	acetylcarnitine (C2)	HMDB0000201	C02571	7045767	Pos Early
m100000840	Xenobiotics	Food Component/Plant	5205	NAMED	tartronate (hydroxymalonate)	tartronate (hydroxymalonate)	HMDB0035227	C02287	45	Neg
m100000841	Cofactors and Vitamins	Ascorbate and Aldarate Metabolism	4355	NAMED	oxalate (ethanedioate)	oxalate (ethanedioate)	HMDB0002329	C00209	971	Neg
m100000846	Xenobiotics	Food Component/Plant	4894	NAMED	erythritol	erythritol	HMDB0002994	C00503	222285	Neg
m100000861	Xenobiotics	Food Component/Plant	4772	NAMED	"2,3-dihydroxypyridine"	"2,3-dihydroxypyridine"	NA	NA	28115	Pos Early
m100000870	Xenobiotics	Food Component/Plant	5040	NAMED	saccharin	saccharin	HMDB0029723	C12283	5143	Neg
m100000882	Lipid	"Fatty Acid, Monohydroxy"	1986	NAMED	3-hydroxymyristate	3-hydroxymyristate	NA	NA	16064	Neg
m100000936	Amino Acid	"Leucine, Isoleucine and Valine Metabolism"	423	NAMED	3-methyl-2-oxobutyrate	3-methyl-2-oxobutyrate	HMDB0000019	C00141	49	Neg
m100000961	Amino Acid	Urea cycle; Arginine and Proline Metabolism	493	NAMED	homoarginine	homoarginine	HMDB0000670	C01924	9085	Pos Early
m100000963	Amino Acid	Urea cycle; Arginine and Proline Metabolism	494	NAMED	homocitrulline	homocitrulline	HMDB0000679	C02427	65072	Neg
m100000997	Lipid	"Fatty Acid, Monohydroxy"	1982	NAMED	3-hydroxydecanoate	3-hydroxydecanoate	HMDB0002203	NA	26612	Neg
m100000998	Amino Acid	Glutamate Metabolism	63	NAMED	citramalate	citramalate	HMDB0000426	C00815	1081	Pos Early
m100001002	Xenobiotics	Chemical	6154	NAMED	EDTA	EDTA	HMDB0015109	C00284	6049	Neg
m100001006	Amino Acid	"Glycine, Serine and Threonine Metabolism"	2	NAMED	N-acetylglycine	N-acetylglycine	HMDB0000532	NA	10972	Pos Early
m100001022	Cofactors and Vitamins	Ascorbate and Aldarate Metabolism	4352	NAMED	threonate	threonate	"HMDB0062620,HMDB0000943"	C01620	"1,511,525,460,407"	Polar
m100001033	Lipid	Sterol	3221	NAMED	beta-sitosterol	beta-sitosterol	HMDB0000852	C01753	222284	Pos Late
m100001034	Amino Acid	Tryptophan Metabolism	299	NAMED	indoleacetate	indoleacetate	HMDB0000197	C00954	802	Neg
m100001040	Lipid	Monoacylglycerol	2856	NAMED	1-linoleoylglycerol (18:2)	1-linoleoylglycerol (18:2)	HMDB0011568	NA	5283469	Neg
m100001051	Amino Acid	Histidine Metabolism	71	NAMED	1-methylhistidine	1-methylhistidine	HMDB0000001	C01152	92105	Pos Early
m100001054	Lipid	Fatty Acid Metabolism (also BCAA Metabolism)	1768	NAMED	butyrylcarnitine (C4)	butyrylcarnitine (C4)	HMDB0002013	C02862	439829	Pos Early
m100001055	Amino Acid	"Leucine, Isoleucine and Valine Metabolism"	426	NAMED	isobutyrylcarnitine (C4)	isobutyrylcarnitine (C4)	HMDB0000736	NA	168379	Pos Early
m100001064	Lipid	Secondary Bile Acid Metabolism	3498	NAMED	glycolithocholate	glycolithocholate	HMDB00698	C15557	115245	Neg
m100001073	Lipid	Androgenic Steroids	3350	NAMED	androsterone sulfate	androsterone sulfate	HMDB0002759	NA	159663	Neg
m100001081	Amino Acid	Glutamate Metabolism	60	NAMED	2-pyrrolidinone	2-pyrrolidinone	HMDB0002039	NA	12025	Pos Early
m100001083	Amino Acid	Tryptophan Metabolism	305	NAMED	indolepropionate	indolepropionate	HMDB0002302	NA	3744	Neg
m100001086	Xenobiotics	Food Component/Plant	4966	NAMED	N-(2-furoyl)glycine	N-(2-furoyl)glycine	HMDB0000439	NA	21863	Neg
m100001092	Cofactors and Vitamins	Nicotinate and Nicotinamide Metabolism	4321	NAMED	trigonelline (N'-methylnicotinate)	trigonelline (N'-methylnicotinate)	HMDB0000875	C01004	5570	Pos Early
m100001102	Lipid	"Fatty Acid, Dicarboxylate"	1686	NAMED	dodecanedioate (C12-DC)	dodecanedioate (C12)	HMDB0000623	C02678	12736	Neg
m100001104	Amino Acid	Tyrosine Metabolism	163	NAMED	N-acetyltyrosine	N-acetyltyrosine	HMDB0000866	NA	68310	Neg
m100001106	Xenobiotics	Xanthine Metabolism	4595	NAMED	"1,3-dimethylurate"	"1,3-dimethylurate"	HMDB0001857	NA	70346	Neg
m100001108	Xenobiotics	Xanthine Metabolism	4600	NAMED	3-methylxanthine	3-methylxanthine	HMDB0001886	C16357	70639	Pos Early
m100001112	Lipid	"Fatty Acid, Monohydroxy"	1985	NAMED	3-hydroxylaurate	3-hydroxylaurate	HMDB0000387	NA	94216	Neg
m100001121	Cofactors and Vitamins	Vitamin B6 Metabolism	4450	NAMED	pyridoxate	pyridoxate	HMDB0000017	C00847	6723	Neg
m100001126	Peptide	Gamma-glutamyl Amino Acid	647	NAMED	gamma-glutamylvaline	gamma-glutamylvaline	HMDB0011172	NA	7015683	Pos Early
m100001145	Lipid	"Fatty Acid, Monohydroxy"	1984	NAMED	3-hydroxysebacate	3-hydroxysebacate	HMDB0000350	NA	3017884	Neg
m100001148	Lipid	"Fatty Acid, Monohydroxy"	1995	NAMED	5-hydroxyhexanoate	5-hydroxyhexanoate	"HMDB0000409,HMDB0000525"	NA	170748	Neg
m100001149	Amino Acid	"Leucine, Isoleucine and Valine Metabolism"	361	NAMED	3-methylcrotonylglycine	3-methylcrotonylglycine	HMDB0000459	C20828	169485	Pos Early
m100001151	Lipid	Fatty Acid Metabolism (also BCAA Metabolism)	1769	NAMED	butyrylglycine	butyrylglycine (C4)	HMDB0000808	NA	88412	Neg
m100001162	Lipid	Fatty Acid Metabolism (also BCAA Metabolism)	1771	NAMED	propionylcarnitine (C3)	propionylcarnitine (C3)	HMDB0000824	C03017	107738	Pos Early
m100001167	Amino Acid	Urea cycle; Arginine and Proline Metabolism	515	NAMED	pro-hydroxy-pro	prolylhydroxyproline	HMDB0006695	NA	11902893	Pos Early
m100001170	Amino Acid	"Leucine, Isoleucine and Valine Metabolism"	405	NAMED	3-hydroxy-2-ethylpropionate	3-hydroxy-2-ethylpropionate	HMDB0000396	NA	188979	Neg
m100001178	Lipid	"Fatty Acid, Dicarboxylate"	1705	NAMED	3-carboxy-4-methyl-5-propyl-2-furanpropanoate (CMPF)	3-carboxy-4-methyl-5-propyl-2-furanpropanoate (CMPF)	HMDB0061112	NA	123979	Neg
m100001181	Lipid	Long Chain Polyunsaturated Fatty Acid (n3 and n6)	1562	NAMED	docosapentaenoate (n3 DPA; 22:5n3)	docosapentaenoate (DPA; 22:5n3)	"HMDB0006528,HMDB0001976"	C16513	6441454	Neg
m100001182	Lipid	Long Chain Polyunsaturated Fatty Acid (n3 and n6)	1577	NAMED	docosadienoate (22:2n6)	docosadienoate (22:2n6)	HMDB0061714	C16533	5282807	Neg
m100001197	Lipid	Medium Chain Fatty Acid	1500	NAMED	10-undecenoate (11:1n1)	10-undecenoate (11:1n1)	HMDB0033724	C13910	14891	Neg
m100001198	Lipid	Long Chain Monounsaturated Fatty Acid	1526	NAMED	myristoleate (14:1n5)	myristoleate (14:1n5)	HMDB0002000	C08322	5281119	Neg
m100001208	Amino Acid	Histidine Metabolism	91	NAMED	1-methyl-4-imidazoleacetate	1-methyl-4-imidazoleacetate	HMDB0002820	C05828	75810	Pos Early
m100001211	Lipid	"Fatty Acid, Dicarboxylate"	1681	NAMED	sebacate (C10-DC)	sebacate (C10-DC)	HMDB0000792	C08277	5192	Neg
m100001229	Lipid	Long Chain Polyunsaturated Fatty Acid (n3 and n6)	1557	NAMED	stearidonate (18:4n3)	stearidonate (18:4n3)	HMDB0006547	C16300	5312508	Neg
m100001232	Lipid	Medium Chain Fatty Acid	1504	NAMED	5-dodecenoate (12:1n7)	5-dodecenoate (12:1n7)	HMDB0000529	NA	5312378	Neg
m100001247	Lipid	"Fatty Acid Metabolism (Acyl Carnitine, Medium Chain)"	1852	NAMED	octanoylcarnitine (C8)	octanoylcarnitine (C8)	HMDB0000791	C02838	"12,370,111,953,814"	Pos Late
m100001251	Lipid	"Fatty Acid Metabolism (Acyl Carnitine, Medium Chain)"	1860	NAMED	decanoylcarnitine (C10)	decanoylcarnitine (C10)	HMDB0000651	NA	10245190	Pos Late
m100001253	Amino Acid	Glutamate Metabolism	48	NAMED	N-acetylglutamine	N-acetylglutamine	HMDB0006029	C02716	182230	Polar
m100001254	Amino Acid	Tryptophan Metabolism	255	NAMED	N-acetyltryptophan	N-acetyltryptophan	HMDB0013713	C03137	"439,917,700,653"	Neg
m100001256	Amino Acid	Phenylalanine Metabolism	141	NAMED	N-acetylphenylalanine	N-acetylphenylalanine	HMDB0000512	C03519	74839	Neg
m100001257	Amino Acid	Alanine and Aspartate Metabolism	42	NAMED	N-acetylasparagine	N-acetylasparagine	HMDB0006028	NA	99715	Polar
m100001262	Peptide	Gamma-glutamyl Amino Acid	641	NAMED	gamma-glutamyl-epsilon-lysine	gamma-glutamyl-epsilon-lysine	HMDB0003869	NA	7015685	Pos Early
m100001263	Lipid	Lysophospholipid	2600	NAMED	1-palmitoyl-GPC (16:0)	1-palmitoyl-GPC (16:0)	HMDB0010382	C04102	86554	Pos Late
m100001266	Amino Acid	Urea cycle; Arginine and Proline Metabolism	499	NAMED	N-acetylarginine	N-acetylarginine	HMDB0004620	C02562	67427	Pos Early
m100001267	Xenobiotics	Food Component/Plant	5004	NAMED	piperine	piperine	HMDB0029377	C03882	638024	Pos Late
m100001269	Lipid	Sterol	3224	NAMED	campesterol	campesterol	HMDB0002869	C01789	173183	Pos Late
m100001270	Lipid	"Fatty Acid Metabolism (Acyl Carnitine, Long Chain Saturated)"	1862	NAMED	myristoylcarnitine (C14)	myristoylcarnitine (C14)	HMDB000506	NA	6426854	Pos Late
m100001271	Lipid	Lysophospholipid	2611	NAMED	1-stearoyl-GPC (18:0)	1-stearoyl-GPC (18:0)	HMDB0010384	NA	497300	Pos Late
m100001272	Lipid	Lysophospholipid	2613	NAMED	1-oleoyl-GPC (18:1)	1-oleoyl-GPC (18:1)	HMDB0002815	C03916	16081932	Pos Late
m100001274	Amino Acid	"Glycine, Serine and Threonine Metabolism"	18	NAMED	N-acetylthreonine	N-acetylthreonine	HMDB0062557	NA	152204	Polar
m100001276	Amino Acid	"Leucine, Isoleucine and Valine Metabolism"	387	NAMED	N-acetylisoleucine	N-acetylisoleucine	HMDB0061684	NA	306109	Neg
m100001277	Lipid	Long Chain Monounsaturated Fatty Acid	1540	NAMED	10-nonadecenoate (19:1n9)	10-nonadecenoate (19:1n9)	HMDB0013622	NA	5312513	Neg
m100001278	Lipid	Long Chain Monounsaturated Fatty Acid	1531	NAMED	10-heptadecenoate (17:1n7)	10-heptadecenoate (17:1n7)	HMDB0060038	NA	5312435	Neg
m100001279	Lipid	Secondary Bile Acid Metabolism	3524	NAMED	hyocholate	hyocholate	HMDB0000760	C17649	92805	Neg
m100001287	Lipid	Androgenic Steroids	3342	NAMED	epiandrosterone sulfate	epiandrosterone sulfate	HMDB0062657	C04555	9929317	Neg
m100001293	Amino Acid	Histidine Metabolism	73	NAMED	N-acetylhistidine	N-acetylhistidine	HMDB0032055	C02997	75619	Polar
m100001294	Peptide	Gamma-glutamyl Amino Acid	636	NAMED	gamma-glutamylglycine	gamma-glutamylglycine	HMDB0011667	NA	100099	Pos Early
m100001295	Peptide	Gamma-glutamyl Amino Acid	645	NAMED	gamma-glutamyltryptophan	gamma-glutamyltryptophan	HMDB0029160	NA	3989307	Neg
m100001296	Xenobiotics	Food Component/Plant	5062	NAMED	stachydrine	stachydrine	HMDB0004827	C10172	115244	Pos Early
m100001300	Amino Acid	"Leucine, Isoleucine and Valine Metabolism"	424	NAMED	alpha-hydroxyisovalerate	alpha-hydroxyisovalerate	HMDB0000407	NA	99823	Neg
m100001313	Peptide	Gamma-glutamyl Amino Acid	642	NAMED	gamma-glutamylmethionine	gamma-glutamylmethionine	HMDB0029155	NA	7009567	Pos Early
m100001314	Peptide	Gamma-glutamyl Amino Acid	644	NAMED	gamma-glutamylthreonine	gamma-glutamylthreonine	HMDB0029159	NA	76078708	Pos Early
m100001315	Xenobiotics	Benzoate Metabolism	4551	NAMED	p-cresol sulfate	p-cresol sulfate	HMDB0011635	NA	4615423	Neg
m100001320	Carbohydrate	Aminosugar Metabolism	1431	NAMED	erythronate*	erythronate*	HMDB0000613	NA	2781043	Polar
m100001334	Amino Acid	Urea cycle; Arginine and Proline Metabolism	505	NAMED	N-acetylproline	N-acetylproline	HMDB0094701	NA	322640	Pos Early
m100001335	Lipid	Long Chain Monounsaturated Fatty Acid	1543	NAMED	eicosenoate (20:1)	eicosenoate (20:1n9 or 1n11)	"HMDB0002231,HMDB0062436"	C16526	"5,282,768,528,276,990,000"	Neg
m100001337	Lipid	Long Chain Polyunsaturated Fatty Acid (n3 and n6)	1569	NAMED	linolenate [alpha or gamma; (18:3n3 or 6)]	linolenate (18:3n3 or 3n6)	"HMDB0003073,HMDB0001388"	"C06426,C06427"	"52,809,335,280,934"	Neg
m100001359	Energy	TCA Cycle	1441	NAMED	aconitate [cis or trans]	aconitate [cis or trans]	"HMDB0000958,HMDB000072"	"C004174,C02341"	"444,212,643,757"	Neg
m100001391	Lipid	"Fatty Acid Metabolism (Acyl Carnitine, Long Chain Saturated)"	1866	NAMED	stearoylcarnitine (C18)	stearoylcarnitine (C18)	HMDB0000848	NA	3006797	Pos Late
m100001392	Lipid	"Fatty Acid Metabolism (Acyl Carnitine, Medium Chain)"	1861	NAMED	laurylcarnitine (C12)	laurylcarnitine (C12)	HMDB000225	NA	168381	Pos Late
m100001393	Amino Acid	"Leucine, Isoleucine and Valine Metabolism"	354	NAMED	isovalerylcarnitine (C5)	isovalerylcarnitine (C5)	HMDB0000688	C20826	169235	Pos Early
m100001395	Lipid	Lysophospholipid	2616	NAMED	1-linoleoyl-GPC (18:2)	1-linoleoyl-GPC (18:2)	HMDB0010386	C04100	11988421	Pos Late
m100001396	Xenobiotics	Xanthine Metabolism	4601	NAMED	7-methylxanthine	7-methylxanthine	HMDB0001991	C16353	68374	Pos Early
m100001397	Xenobiotics	Xanthine Metabolism	4598	NAMED	"1,3,7-trimethylurate"	"1,3,7-trimethylurate"	HMDB0002123	C16361	79437	Neg
m100001398	Xenobiotics	Xanthine Metabolism	4597	NAMED	"3,7-dimethylurate"	"3,7-dimethylurate"	HMDB0001982	C16360	83126	Neg
m100001399	Xenobiotics	Xanthine Metabolism	4596	NAMED	"1,7-dimethylurate"	"1,7-dimethylurate"	HMDB0011103	C16356	91611	Neg
m100001400	Xenobiotics	Xanthine Metabolism	4593	NAMED	1-methylurate	1-methylurate	HMDB0003099	C16359	69726	Pos Early
m100001403	Xenobiotics	Xanthine Metabolism	4602	NAMED	5-acetylamino-6-amino-3-methyluracil	5-acetylamino-6-amino-3-methyluracil	HMDB0004400	C16366	88299	Polar
m100001404	Amino Acid	Tryptophan Metabolism	317	NAMED	indolebutyrate	indolebutyrate	HMDB0002096	C11284	8617	Neg
m100001405	Xenobiotics	Xanthine Metabolism	4599	NAMED	1-methylxanthine	1-methylxanthine	HMDB0010738	C16358	80220	Neg
m100001409	Nucleotide	"Purine Metabolism, (Hypo)Xanthine/Inosine containing"	4125	NAMED	N1-methylinosine	N1-methylinosine	HMDB0002721	NA	650095	Pos Early
m100001412	Nucleotide	"Purine Metabolism, Guanine containing"	4191	NAMED	"N2,N2-dimethylguanosine"	"N2,N2-dimethylguanosine"	HMDB0004824	NA	135501639	Pos Early
m100001413	Nucleotide	"Pyrimidine Metabolism, Cytidine containing"	4255	NAMED	N4-acetylcytidine	N4-acetylcytidine	HMDB0005923	NA	107461	Pos Early
m100001415	Nucleotide	"Purine Metabolism, Adenine containing"	4163	NAMED	N6-carbamoylthreonyladenosine	N6-carbamoylthreonyladenosine	HMDB0041623	NA	161466	Neg
m100001416	Nucleotide	"Pyrimidine Metabolism, Orotate containing"	4208	NAMED	orotidine	orotidine	HMDB0000788	NA	92751	Polar
m100001417	Peptide	Acetylated Peptides	1187	NAMED	phenylacetylglutamine	phenylacetylglutamine	HMDB0006344	C04148	92258	Pos Early
m100001423	Xenobiotics	Benzoate Metabolism	4469	NAMED	4-hydroxyhippurate	4-hydroxyhippurate	HMDB0013678	NA	151012	Neg
m100001425	Nucleotide	"Pyrimidine Metabolism, Uracil containing"	4221	NAMED	"5,6-dihydrouridine"	"5,6-dihydrouridine"	HMDB0000497	NA	94312	Neg
m100001426	Nucleotide	"Pyrimidine Metabolism, Uracil containing"	4243	NAMED	3-(3-amino-3-carboxypropyl)uridine*	3-(3-amino-3-carboxypropyl)uridine*	NA	NA	171198	Neg
m100001446	Nucleotide	"Pyrimidine Metabolism, Uracil containing"	4223	NAMED	5-methyluridine (ribothymidine)	5-methyluridine (ribothymidine)	HMDB0000884	NA	445408	Neg
m100001452	Amino Acid	"Leucine, Isoleucine and Valine Metabolism"	353	NAMED	isovalerylglycine	isovalerylglycine	HMDB00678	NA	546304	Neg
m100001454	Lipid	"Fatty Acid, Dicarboxylate"	1687	NAMED	3-hydroxydodecanedioate*	3-hydroxydodecanedioate*	HMDB0000413	NA	16663321	Neg
m100001456	Nucleotide	"Purine Metabolism, Guanine containing"	4185	NAMED	7-methylguanine	7-methylguanine	HMDB0000897	C02242	135398679	Pos Early
m100001461	Lipid	Lysophospholipid	2669	NAMED	1-stearoyl-GPE (18:0)	1-stearoyl-GPE (18:0)	HMDB0011130	NA	9547068	Pos Late
m100001462	Lipid	Lysophospholipid	2711	NAMED	1-stearoyl-GPG (18:0)	1-stearoyl-GPG (18:0)	NA	NA	NA	Neg
m100001466	Nucleotide	"Pyrimidine Metabolism, Cytidine containing"	4253	NAMED	3-methylcytidine	3-methylcytidine	HMDB0240577	NA	14237477	Pos Early
m100001468	Cofactors and Vitamins	Nicotinate and Nicotinamide Metabolism	4323	NAMED	N1-Methyl-2-pyridone-5-carboxamide	N1-Methyl-2-pyridone-5-carboxamide	HMDB0004193	C05842	69698	Neg
m100001469	Cofactors and Vitamins	Nicotinate and Nicotinamide Metabolism	4324	NAMED	N1-Methyl-4-pyridone-3-carboxamide	N1-Methyl-4-pyridone-3-carboxamide	HMDB0004194	C05843	440810	Pos Early
m100001485	Peptide	Gamma-glutamyl Amino Acid	638	NAMED	gamma-glutamylisoleucine*	gamma-glutamylisoleucine*	HMDB0011170	NA	22885096	Pos Early
m100001501	Lipid	"Fatty Acid Metabolism (Acyl Carnitine, Monounsaturated)"	1886	NAMED	oleoylcarnitine (C18:1)	oleoylcarnitine (C18:1)	HMDB0005065	NA	6441392	Pos Late
m100001502	Peptide	Gamma-glutamyl Amino Acid	650	NAMED	gamma-glutamyl-2-aminobutyrate	gamma-glutamyl-2-aminobutyrate	NA	NA	NA	Pos Early
m100001509	Amino Acid	"Leucine, Isoleucine and Valine Metabolism"	397	NAMED	2-methylbutyrylcarnitine (C5)	2-methylbutyrylcarnitine (C5)	HMDB0000378	NA	6426901	Pos Early
m100001510	Amino Acid	Tyrosine Metabolism	190	NAMED	phenol sulfate	phenol sulfate	HMDB0060015	C02180	74426	Neg
m100001511	Lipid	Lysophospholipid	2602	NAMED	1-palmitoleoyl-GPC (16:1)*	1-palmitoleoyl-GPC* (16:1)*	HMDB0010383	NA	24779461	Pos Late
m100001540	Partially Characterized Molecules	Partially Characterized Molecules	6450	NAMED	glutamine_degradant*	glutamine_degradant*	NA	NA	NA	Pos Early
m100001541	Amino Acid	"Leucine, Isoleucine and Valine Metabolism"	395	NAMED	2-hydroxy-3-methylvalerate	2-hydroxy-3-methylvalerate	HMDB0000317	NA	164623	Neg
m100001550	Xenobiotics	Food Component/Plant	4932	NAMED	homostachydrine*	homostachydrine*	HMDB0033433	C08283	441447	Pos Early
m100001551	Lipid	Lysophospholipid	2635	NAMED	1-arachidonoyl-GPC (20:4n6)*	1-arachidonoyl-GPC* (20:4)*	HMDB0010395	C05208	24779476	Pos Late
m100001561	Lipid	Lysophospholipid	2603	NAMED	2-palmitoleoyl-GPC (16:1)*	2-palmitoleoyl-GPC* (16:1)*	HMDB10383	NA	122164832	Neg
